ChEMBL ID,Name,Max Phase,Molecular Formula,Molecular Weight,SMILES
CHEMBL2,N/A,4.0,C19H21N5O4,N/A,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
CHEMBL3,N/A,4.0,C10H14N2,N/A,CN1CCC[C@H]1c1cccnc1
CHEMBL4,N/A,4.0,C18H20FN3O4,N/A,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
CHEMBL5,N/A,4.0,C12H12N2O3,N/A,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
CHEMBL6,N/A,4.0,C19H16ClNO4,N/A,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL403,N/A,4.0,C8H11NO5S,N/A,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CHEMBL404,N/A,4.0,C10H12N4O5S,N/A,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CHEMBL8,N/A,4.0,C17H18FN3O3,N/A,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
CHEMBL9,N/A,4.0,C16H18FN3O3,N/A,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
CHEMBL405,N/A,4.0,C9H13N,N/A,CC(N)Cc1ccccc1
CHEMBL6622,N/A,4.0,C6H8N2O8,N/A,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
CHEMBL6437,N/A,4.0,C18H20N2,N/A,CN1CCN2c3ccccc3Cc3ccccc3C2C1
CHEMBL11,N/A,4.0,C19H24N2,N/A,CN(C)CCCN1c2ccccc2CCc2ccccc21
CHEMBL406,N/A,4.0,C16H16ClN3O3S,N/A,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
CHEMBL407,N/A,4.0,C15H14FN3O3,N/A,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
CHEMBL408,N/A,4.0,C24H27NO5S,N/A,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
CHEMBL409,N/A,4.0,C18H14F4N2O4S,N/A,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
CHEMBL12,N/A,4.0,C16H13ClN2O,N/A,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHEMBL13,N/A,4.0,C15H25NO3,N/A,COCCc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL411,N/A,4.0,C18H20O2,N/A,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
