smiles,smi_fragments,selfies,selfies_fragments,CT_TOX
[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,['Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl'],[C@@H1][Branch2][Ring1][Branch1][C@@H1][Branch1][P][C@@H1][Branch1][=N][C@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][C@@H1][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],['[Cl][C@H1][C@H1][Branch1][C][Cl][C@@H1][Branch1][C][Cl][C@@H1][Branch1][C][Cl][C@H1][Branch1][C][Cl][C@H1][Ring1][#Branch2][Cl]'],0
[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,['O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]'],[C@H1][Branch1][=C][C@@H1][Branch1][#Branch2][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][O][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][O],['[O][=C][Branch1][C][O-1][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O-1]'],0
[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,"['[5C]=CC=c1ccc(=C(N)[NH3+])cc1', '[H]/[NH+]=C(\\N)C1=CC(=O)C(=[5C])C=C1']",[H][/NH1+1][=C][Branch2][Ring1][P][/C][=C][C][=Branch1][C][=O][/C][=Branch2][Ring1][C][=C][\C][=C][C][=C][C][=Branch1][=Branch1][=C][Branch1][C][NH3+1][N][C][=C][Ring1][=Branch2][/C][=C][Ring2][Ring1][C][\N],"['[5C][=C][C][=C][C][=C][C][=Branch1][=Branch1][=C][Branch1][C][N][NH3+1][C][=C][Ring1][=Branch2]', '[H][/NH1+1][=C][Branch1][C][\\N][C][=C][C][=Branch1][C][=O][C][=Branch1][C][=5C][C][=C][Ring1][Branch2]']",0
[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N,"['[H]/[NH+]=C(\\N)c1ccc([14C])cc1', '[2C]O[2C]', '[3C]CCCCC[3C]']",[H][/NH1+1][=C][Branch1][C][\N][/C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=Branch1][Ring1][=NH1+1][/H][/N],"['[H][/NH1+1][=C][Branch1][C][\\N][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]', '[2C][O][2C]', '[3C][C][C][C][C][C][3C]']",0
[N+](=O)([O-])[O-],['O=[N+]([O-])[O-]'],[N+1][=Branch1][C][=O][Branch1][C][O-1][O-1],['[O][=N+1][Branch1][C][O-1][O-1]'],0
[N]=O,['[N]=O'],[NH0][=O],['[NH0][=O]'],0
[O-][99Tc](=O)(=O)=O,['O=[99Tc](=O)(=O)[O-]'],[O-1][99Tc][=Branch1][C][=O][=Branch1][C][=O][=O],['[O][=99Tc][=Branch1][C][=O][=Branch1][C][=O][O-1]'],0
[O-]P(=O)([O-])F,['O=P([O-])([O-])F'],[O-1][P][=Branch1][C][=O][Branch1][C][O-1][F],['[O][=P][Branch1][C][O-1][Branch1][C][O-1][F]'],0
[O-]S(=O)(=O)[O-],['O=S(=O)([O-])[O-]'],[O-1][S][=Branch1][C][=O][=Branch1][C][=O][O-1],['[O][=S][=Branch1][C][=O][Branch1][C][O-1][O-1]'],0
[O-]S(=O)(=S)[O-],['O=S([O-])([O-])=S'],[O-1][S][=Branch1][C][=O][=Branch1][C][=S][O-1],['[O][=S][Branch1][C][O-1][Branch1][C][O-1][=S]'],0
