smiles,smi_mac_fragments,selfies,NR-AR
CC(O)(P(=O)(O)O)P(=O)(O)O,CC(O)(P(=O)(O)O)P(=O)(O)O,[C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O],0
O=S(=O)(Cl)c1ccccc1,O=S(=O)(Cl)c1ccccc1,[O][=S][=Branch1][C][=O][Branch1][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1],0
CC(C)COC(=O)C(C)C,"[1*]C(=O)C(C)C,[2*]O[2*],[3*]CC(C)C",[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],0
C=C(C)C(=O)OCCOC(=O)C(=C)C,"[2*]O[2*],[1*]C(=O)C(=C)C,[3*]CC[3*]",[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=C][C],0
O=C([O-])Cc1cccc2ccccc12,"[6*]CC(=O)[O-],[14*]c1cccc2ccccc12",[O][=C][Branch1][C][O-1][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],0
C#CCO,C#CCO,[C][#C][C][O],0
CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,[C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][O],0
CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N,[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][N],0
CC(=O)CC(C)C,CC(=O)CC(C)C,[C][C][=Branch1][C][=O][C][C][Branch1][C][C][C],0
CCCC(C)=O,CCCC(C)=O,[C][C][C][C][Branch1][C][C][=O],0
Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,[N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],0
c1ccc(-c2ccccc2)cc1,[14*]c1ccccc1,[C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N],0
CCCCNC(=S)NCCCC,"[4*]NC(=S)N[4*],[3*]CCCC",[C][C][C][C][N][C][=Branch1][C][=S][N][C][C][C][C],0
CCCCNC(=O)NCCCC,"[1*]C([1*])=O,[4*]N[4*],[3*]CCCC",[C][C][C][C][N][C][=Branch1][C][=O][N][C][C][C][C],0
CC(C)N(c1ccccc1)C(C)C,"[14*]c1ccccc1,[3*]C(C)C,[4*]N([4*])[4*]",[C][C][Branch1][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],0
CCc1cccc(C)c1,"[14*]c1cccc(C)c1,[6*]CC",[C][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1],0
CCCCCCCCCCC=CC1CC(=O)OC1=O,"[5*]=CC1CC(=O)OC1=O,[5*]=CCCCCCCCCCC",[C][C][C][C][C][C][C][C][C][C][C][=C][C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O],0
