smiles,selfies
CC(O)(P(=O)(O)O)P(=O)(O)O,[C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O]
O=S(=O)(Cl)c1ccccc1,[O][=S][=Branch1][C][=O][Branch1][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1]
CC(C)COC(=O)C(C)C,[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C]
C=C(C)C(=O)OCCOC(=O)C(=C)C,[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=C][C]
O=C([O-])Cc1cccc2ccccc12,[O][=C][Branch1][C][O-1][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
C#CCO,[C][#C][C][O]
CC(O)CC(C)(C)O,[C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][O]
CC(C)(C)CC(C)(C)N,[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][N]
CC(=O)CC(C)C,[C][C][=Branch1][C][=O][C][C][Branch1][C][C][C]
CCCC(C)=O,[C][C][C][C][Branch1][C][C][=O]
Nc1nc2ccccc2[nH]1,[N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]
c1ccc(-c2ccccc2)cc1,[C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N]
CCCCNC(=S)NCCCC,[C][C][C][C][N][C][=Branch1][C][=S][N][C][C][C][C]
CCCCNC(=O)NCCCC,[C][C][C][C][N][C][=Branch1][C][=O][N][C][C][C][C]
CC(C)N(c1ccccc1)C(C)C,[C][C][Branch1][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C]
CCc1cccc(C)c1,[C][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1]
CCCCCCCCCCC=CC1CC(=O)OC1=O,[C][C][C][C][C][C][C][C][C][C][C][=C][C][C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][=O]
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][Branch1][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Cl][=C][C][=C][Ring2][Ring1][C][N+1][=Branch1][C][=O][O-1]
CC/C=C\CCCCO,[C][C][/C][=C][\C][C][C][C][O]
CC(=O)CCC(C)=O,[C][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O]
N#CCCNCCC#N,[N][#C][C][C][N][C][C][C][#N]
